ZIP,latitude,longitude
66062,38.835491,-94.778691
90706,33.887821,-118.12725
92126,32.908485,-117.141402
75126,32.742601,-96.452883
37128,35.793605,-86.481328
94544,37.633819,-122.057195
76179,32.909919,-97.434281
98012,47.841376,-122.198939
97229,45.551031,-122.809275
33024,26.026358,-80.244633
77346,29.994499,-95.177499
92880,33.92539,-117.607254
11375,40.720963,-73.84614
33411,26.719895,-80.193063
23464,36.796917,-76.187631
30041,34.199535,-84.098522
76244,32.927988,-97.283692
89031,36.258917,-115.171798
33647,28.126952,-82.354093
63376,38.800455,-90.618221
91335,34.200175,-118.540958
80013,39.661397,-104.765662
45011,39.426575,-84.497637
77845,30.562014,-96.2739
83646,43.649585,-116.431758
60634,41.946189,-87.806117
92805,33.83147,-117.905779
85326,33.293873,-112.59053
22191,38.622914,-77.262938
85225,33.317445,-111.830477
75002,33.089854,-96.6086
77450,29.743565,-95.740717
92553,33.923376,-117.244816
06902,41.059347,-73.544384
96797,21.429621,-157.971877
93065,34.258405,-118.775026
37075,36.339969,-86.607922
28277,35.052875,-80.817552
80015,39.627939,-104.779425
30127,33.874556,-84.694713
85383,33.806879,-112.251991
93536,34.74739,-118.369249
91730,34.101102,-117.578217
07305,40.698149,-74.080976
91706,34.09741,-117.968269
10977,41.118914,-74.048154
78640,29.99911,-97.828217
46307,41.403169,-87.328359
11218,40.643477,-73.976042
60657,41.940293,-87.646852
20906,39.087321,-77.057159
77375,30.094665,-95.586187
30096,33.974302,-84.145384
84096,40.529782,-112.130873
94509,37.996501,-121.812301
11215,40.662688,-73.98674
33023,25.9892,-80.217067
30281,33.567898,-84.193388
11209,40.621993,-74.030134
84015,41.120356,-112.060775
94536,37.570508,-121.98125
30047,33.870125,-84.112322
20002,38.905026,-76.983607
75068,33.172654,-96.9517
94568,37.715264,-121.914862
07002,40.662495,-74.110201
85032,33.62592,-112.002503
60614,41.922714,-87.649577
95123,37.244238,-121.831604
87114,35.19722,-106.685095
32828,28.528662,-81.16641
77095,29.909513,-95.651476
28078,35.405286,-80.86402
32259,30.074317,-81.585207
10469,40.868609,-73.848134
95687,38.333133,-121.920151
34711,28.52075,-81.753851
33157,25.606126,-80.343496
77386,30.100262,-95.356488
75071,33.245816,-96.63072
92882,33.844134,-117.60867
10463,40.880678,-73.90654
11201,40.6937,-73.989859
92407,34.212326,-117.381183
93230,36.29223,-119.622676
91766,34.042286,-117.756106
11706,40.722537,-73.252183
90631,33.942708,-117.952483
02301,42.078371,-71.042304
75067,33.013747,-97.000171
33015,25.941369,-80.317673
29072,34.002273,-81.27725
77373,30.062169,-95.383966
94513,37.922226,-121.66874
94587,37.603153,-122.01864
95624,38.427507,-121.314899
75056,33.070183,-96.917762
27519,35.8084,-78.886521
95020,37.018537,-121.554202
30004,34.145635,-84.291881
94541,37.673932,-122.084839
94538,37.501368,-121.956753
29681,34.767679,-82.225003
11434,40.677857,-73.777073
33186,25.65442,-80.412154
78253,29.469549,-98.797457
75098,33.012135,-96.534936
