ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,cluster,cluster_id,cluster_radius,cluster_grades,ZIPs in Cluster,Avg Median Income,Total Population,Total Children,Total Area (sq mi)
85207,ZCTA5 85207,19490,14065,4765,9300,11627,3963,1707,598,731,204,7683,2492,2148,1210,249,283,2468,4246,5620,1731,5425,2532,2179,353,2893,2350,543,99439.0,118467,128630,111795,127517,136397,61299,50135,2367,2342,3004,3231,2682,2642,2326,2706,2933,3366,4079,4160,3573,3987,2309,1838,1488,1102,5346,2272,9985,3641,16520,41841,40150,38547,14297,12494,10724,4428,46.3,96.1,70.4,36.4,33.9,24563,45.3,25572,47.2,85207,33.453269,-111.636673,77388206.0,258994.0,29.88,0.1,0.1635360589343156,0.3154891048014338,0.2059416352642187,0.9938094758629804,0.3311893535460099,B,12,"A,B_10mi_C13",10,"A,B",22,112367.45,1062951,130138,688.35
19380,ZCTA5 19380,20694,13444,5104,8340,11575,4234,1118,565,751,305,6950,2467,2522,1041,350,114,2078,3383,6164,1819,7250,4519,3721,798,2731,2005,726,122876.0,155469,193736,137950,168625,210780,71776,50093,2557,2752,2933,2656,2816,2830,3517,3076,2916,2724,3481,3249,2954,3151,3036,2008,1581,1856,5685,1781,10023,3691,17811,41347,40070,38775,14586,13201,11632,5445,43.2,92.6,76.1,40.9,35.2,24083,42.3,26010,44.4,19380,39.987218,-75.603138,81759486.0,877452.0,31.568,0.339,0.2937437846186325,0.3151589472691256,0.2207957234247655,0.9934575899273902,0.3810994695868847,A,2,"A,B_10mi_C3",10,"A,B",373,143120.8,12435574,1284148,4745.44
33324,ZCTA5 33324,20276,12598,5152,7446,8678,3266,2884,1389,1036,497,5555,3941,2114,769,148,71,1447,4352,5122,1677,7678,4265,3437,828,3413,2436,977,83678.0,96671,91066,99744,106794,115471,70849,50072,2964,2833,2560,1945,2827,4651,3766,4029,3362,3019,3386,3168,2788,2183,2822,1692,921,1156,5393,1236,9593,3536,20580,41397,40479,39402,11562,10339,8774,3769,39.3,85.6,57.9,27.7,30.3,23100,38.8,26972,39.7,33324,26.112485,-80.27494,23579016.0,625136.0,9.104,0.241,0.0759734884470296,0.3149938685029714,0.2228989571466129,0.998140507970696,0.3061802579966429,B,26,"A,B_10mi_C28",10,"A,B",31,112763.68,1310598,149025,636.23
11420,ZCTA5 11420,13975,11851,3523,8328,7680,2572,2673,532,1498,419,2621,3258,2955,1330,897,790,785,3027,4837,3202,2124,1082,850,232,1042,775,267,98584.0,102659,92649,105465,109225,99704,83855,50060,2562,2521,2566,2897,3498,3812,3685,2849,2875,3002,3968,4393,4072,3027,2092,1202,598,441,5087,1794,9443,4601,19616,41717,40617,39061,11432,9387,7360,2241,41.0,107.6,50.5,22.1,28.4,25941,38.7,24119,43.7,11420,40.673563,-73.817829,5380501.0,0.0,2.077,0.0,0.1587859797663294,0.3148995377794548,0.1515204627114188,0.9996053791018528,0.3139519461528098,B,2,"A,B_10mi_C3",10,"A,B",373,143120.8,12435574,1284148,4745.44
92024,ZCTA5 92024,19740,13011,5033,7978,10740,4138,1367,447,904,448,6184,3067,2745,855,138,22,2054,3220,6186,1551,6729,3695,2703,992,3034,2010,1024,149080.0,175625,227011,158607,206234,"250,000+",74464,50030,2318,2456,2984,2911,1729,3014,2948,3395,3741,3286,3436,3540,3647,3790,2995,1607,1231,1002,5440,1945,9703,2695,17738,41566,40327,38966,14272,12772,10625,3840,44.3,98.2,68.4,35.8,32.7,24783,42.5,25247,45.5,92024,33.056022,-117.2599,43870214.0,1783883.0,16.938,0.689,0.4393239887331455,0.3146637109706631,0.2176846902111997,0.9965074070113272,0.4314776563657926,A,14,"A,B_10mi_C15",10,"A,B",44,122568.36,2044625,212233,652.22
20176,ZCTA5 20176,16347,12878,6417,6461,10883,5323,1391,800,604,294,4752,2850,3454,1170,440,212,1121,3151,6276,2330,3469,2062,1515,547,1407,999,408,166870.0,186423,194531,175578,205593,217264,87455,50002,3398,3105,3616,3787,3100,2493,3206,3175,3651,3975,4049,3340,2607,2002,1599,1201,945,753,6721,2551,12670,4336,19412,38957,37332,35330,9107,7857,6500,2899,38.7,97.5,62.2,21.1,41.1,24685,37.6,25317,39.6,20176,39.184853,-77.543184,147578673.0,1107391.0,56.98,0.428,0.5381589693161553,0.3144436059491243,0.2783279291911314,0.9881601222761932,0.4829667575492475,A,16,"A,B_10mi_C17",10,"A,B",153,148184.38,5349926,598194,2520.55
20009,ZCTA5 20009,29175,7586,2430,5156,5948,1839,1317,515,321,76,4592,1492,1002,392,108,0,625,1272,5473,216,21589,11192,8271,2921,10397,7614,2783,140555.0,229844,235000,229737,"250,000+","250,000+",60593,49997,2742,1240,931,526,3192,9225,8567,6306,3854,2820,1942,2525,1702,1475,1217,946,486,301,2171,349,5262,3369,31670,44941,44735,44414,6127,5324,4425,1733,34.2,98.6,24.0,11.0,13.1,24823,34.7,25174,33.5,20009,38.919144,-77.037381,3404343.0,25630.0,1.314,0.01,0.3919620882570265,0.3144043014809923,0.1036280781701866,0.9997644365478572,0.3811206801193923,A,16,"A,B_10mi_C17",10,"A,B",153,148184.38,5349926,598194,2520.55
87144,ZCTA5 87144,17663,13514,5989,7525,10372,4239,2069,1112,1073,638,6079,2629,2886,1141,423,356,2332,4285,5176,1721,4149,1839,1521,318,2310,1612,698,90973.0,99654,108900,92726,112577,132489,55814,49976,2650,3123,3806,3637,3250,2866,3295,4156,3307,3079,3065,2597,3988,2561,2184,1540,472,400,6929,2248,11827,4639,20511,39758,38149,36130,11145,9677,7157,2412,37.7,96.2,61.3,23.1,38.2,24502,38.0,25474,37.2,87144,35.3252,-106.705446,230963715.0,124467.0,89.176,0.048,0.1165019416990283,0.3142392227148382,0.2595740951713259,0.981448440059212,0.3287130186979071,B,34,"A,B_10mi_C37",10,"A,B",4,84976.5,243919,27723,219.3
98387,ZCTA5 98387,16412,12288,5604,6684,9168,3964,2219,1255,901,385,4795,2715,2234,1547,505,492,1108,4129,4994,2057,4124,1886,1327,559,2238,1509,729,101141.0,107021,94167,116466,119662,118073,64590,49940,3020,3975,3906,3418,2796,4379,4347,3742,2902,2718,3428,3349,2756,1655,1578,932,659,380,7881,2400,13301,3814,21584,38075,36639,34906,7960,6789,5204,1971,34.1,104.1,58.9,16.6,42.3,25471,33.6,24469,34.5,98387,47.060925,-122.388909,73442224.0,1044254.0,28.356,0.403,0.1729917720850903,0.3139562305442883,0.242704408027342,0.9941271738285252,0.3452687648211207,B,21,"A,B_10mi_C23",10,"A,B",66,139110.91,2426036,276267,1235.53
92886,ZCTA5 92886,16688,13287,5617,7670,11339,4864,1252,548,696,205,4941,3034,3442,1217,473,180,1812,3541,5751,2183,3401,2043,1792,251,1358,1008,350,148170.0,166543,187734,151034,179202,202908,107643,49919,2548,3518,3792,2897,2483,2243,2190,2851,3338,4109,3235,3527,3688,2734,2633,1854,1073,1206,7310,2094,11952,3286,16002,39421,37967,36633,13188,11661,9500,4133,43.5,95.9,75.4,33.4,42.0,24431,43.4,25488,43.6,92886,33.896324,-117.796561,38621715.0,64296.0,14.912,0.025,0.4342683489169264,0.3137911517781341,0.243274033827009,0.9969297535193284,0.437273825652553,A,3,"A,B_10mi_C4",10,"A,B",217,120963.5,9911542,989367,3705.57
60506,ZCTA5 60506,17681,12260,5868,6392,8145,3394,2653,1660,1462,814,4518,2941,2788,1308,396,309,989,3639,5249,2383,5421,2984,2472,512,2437,1874,563,76105.0,87787,79073,97051,108914,111638,55982,49886,3400,3402,3334,3990,3099,3968,2967,3426,3616,3065,3043,2696,2787,2461,1848,1373,691,720,6736,2224,12360,4865,21066,39017,37526,35188,9880,8634,7093,2784,36.0,101.8,63.9,23.3,40.6,25162,33.9,24724,38.7,60506,41.765239,-88.362301,48282622.0,1144939.0,18.642,0.442,0.0339005650094168,0.3135317422884633,0.2542721934975024,0.9961521856640252,0.3002760321098431,B,10,"A,B_10mi_C11",10,"A,B",103,125922.33,3974395,432366,1441.21
85286,ZCTA5 85286,17794,13144,6655,6489,10717,5584,1535,682,892,389,4781,3524,2767,1451,481,140,1092,3623,6836,1593,4650,1865,1347,518,2785,1848,937,118759.0,129617,138870,123386,150576,157692,71138,49870,2786,4140,3786,3205,3676,2731,3218,4652,3665,3634,3765,3016,2055,1922,1527,861,720,511,7926,1945,12657,4936,21147,38548,37213,34833,7596,6785,5541,2092,36.3,107.1,57.5,17.5,40.0,25789,36.2,24081,36.4,85286,33.272273,-111.833863,42083635.0,30207.0,16.249,0.012,0.2708711811863531,0.3134059679904412,0.2887564630619578,0.9966510381781648,0.3936107016586239,A,12,"A,B_10mi_C13",10,"A,B",22,112367.45,1062951,130138,688.35
