ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,cluster,cluster_id,cluster_radius,cluster_grades,ZIPs in Cluster,Avg Median Income,Total Population,Total Children,Total Area (sq mi)
89011,ZCTA5 89011,13995,9425,3576,5849,7352,2346,1257,654,816,576,4799,2280,1398,598,159,191,1983,3253,3167,1022,4570,1957,1375,582,2613,1821,792,93881.0,104923,107125,104444,118120,125385,57511,35910,1791,2205,1866,1656,2016,2928,1736,2890,2005,1828,2907,1909,3164,2399,2117,1425,476,592,4071,1272,7134,2400,13231,29606,28776,27843,10173,8348,7009,2493,42.4,100.0,65.0,32.2,32.8,17952,44.9,17958,39.5,89011,36.083301,-114.97214,42798546.0,1141433.0,16.525,0.441,0.1326577665183309,0.2036678929660724,0.1538427832792919,0.996593502326137,0.2828056572073384,C,59,"B,C_5mi_C78",5,"B,C",3,87968.67,116910,11988,62.87
8096,ZCTA5 08096,13924,8593,3614,4979,6124,2531,1627,725,842,358,3520,2188,1526,706,422,231,915,2276,3532,1870,5331,2966,2596,370,2365,1941,424,89483.0,127959,126307,128721,140116,138260,68294,35896,1638,2076,1853,2035,2675,2275,2767,2276,2315,2321,2323,2596,2441,1905,1757,1156,801,686,3929,1353,6920,3357,14343,29802,28976,27774,8746,7712,6305,2643,41.1,94.0,58.3,27.8,30.5,17395,38.6,18501,42.4,08096,39.82594,-75.126815,39132258.0,866501.0,15.109,0.335,0.1082240259559881,0.2035578404553029,0.1555078433090877,0.9968886862626274,0.2747756331077768,C,66,"B,C_5mi_C82",5,"B,C",3,100966.33,116086,11666,58.91
55406,ZCTA5 55406,16653,8461,3544,4917,6600,2584,1471,761,390,199,4569,1862,1385,382,165,98,979,2222,4663,597,8192,4485,3482,1003,3707,2728,979,91865.0,112785,108854,116475,134885,146034,56083,35863,2349,1879,1470,1637,894,2980,3405,3525,2959,1994,2144,2475,2726,2123,1303,758,547,695,3349,1102,6800,1429,15400,29813,29063,28418,8152,7204,5426,2000,39.7,94.9,51.7,23.0,28.8,17464,39.2,18399,40.2,55406,44.940496,-93.22104,12954769.0,620758.0,5.002,0.24,0.121457579848553,0.2032984309656322,0.152440627464727,0.9989956241482976,0.2787513710017827,C,50,"B,C_5mi_C64",5,"B,C",17,106504.41,500998,52086,125.52
92831,ZCTA5 92831,12823,7662,3158,4504,5370,2395,1525,621,767,142,2948,2091,1269,896,354,104,734,2151,3511,1266,5161,2702,1634,1068,2459,1659,800,89451.0,117948,110526,119522,135913,129964,53934,35831,1849,1536,1728,3062,4927,3968,2306,1787,2266,2388,2235,1979,1820,1173,934,661,538,674,3264,1412,6525,6577,18316,30202,29306,26385,5800,5123,3980,1873,31.7,105.2,41.5,15.7,25.8,18368,31.3,17463,32.5,92831,33.879768,-117.896346,15479163.0,0.0,5.977,0.0,0.108046245215198,0.2030468823695878,0.135527122951538,0.9987923724971124,0.2689025550592651,C,2,"B,C_5mi_C3",5,"B,C",103,104663.29,3802492,336813,565.19
11554,ZCTA5 11554,11727,9008,3331,5677,7163,3038,1389,191,456,102,3284,2334,1838,912,435,205,1263,2570,3574,1601,2719,2020,1805,215,699,585,114,128770.0,151667,178994,139614,169719,184112,102014,35806,1891,1806,2223,1704,2189,2250,1928,2065,2348,1912,2727,2404,2455,2541,1931,1029,857,1546,4029,954,6874,2939,12484,29547,28932,27621,10359,9338,7904,3432,43.8,83.7,70.3,37.6,32.7,16314,43.2,19492,44.2,11554,40.720115,-73.558861,16186097.0,61309.0,6.249,0.024,0.3264887748129135,0.2028503600289281,0.1431075278240294,0.9987356704980124,0.347583752112216,B,1,"B,C_5mi_C2",5,"B,C",106,106626.55,3672559,332353,278.71
90621,ZCTA5 90621,10950,8734,3453,5281,5742,2146,1791,699,1201,608,3011,2387,1790,874,516,156,620,2683,3557,1874,2216,1055,758,297,1161,656,505,94679.0,91516,82863,100199,104419,102463,61050,35735,1894,1864,2945,2289,2613,2883,2512,2363,3145,2089,2323,1818,2629,1737,791,766,388,686,4809,1432,8135,3470,15805,28509,27600,26126,6997,5989,4368,1840,37.0,102.1,53.8,18.8,35.0,18049,36.4,17686,37.7,90621,33.874224,-117.993368,10757469.0,41543.0,4.153,0.016,0.1370911737417846,0.2022922365814546,0.1484532468670581,0.9991726094322524,0.2828522236008708,C,2,"B,C_5mi_C3",5,"B,C",103,104663.29,3802492,336813,565.19
21227,ZCTA5 21227,13687,8471,3449,5022,5554,1980,1799,1147,1118,322,4020,1961,978,931,534,47,1102,2842,3438,1089,5216,2609,2002,607,2607,1935,672,83620.0,98186,83345,103594,129587,135735,64018,35695,2427,2463,1915,2201,1929,2823,3366,2866,1998,1554,1823,2242,2820,1828,1770,724,493,453,4378,1306,8111,2824,15183,28544,27584,26439,8088,6995,5268,1670,36.1,106.1,60.0,23.6,36.3,18378,34.1,17317,38.0,21227,39.23997,-76.67945,29876648.0,556260.0,11.535,0.215,0.0756512608543475,0.2019778008363991,0.1482779773902375,0.997633733853741,0.2610019547614338,C,24,"B,C_5mi_C31",5,"B,C",7,111179.57,216451,21378,74.76
90505,ZCTA5 90505,13925,9191,4228,4963,7768,3553,1129,573,294,102,3822,2193,2186,858,103,29,1362,3046,3791,992,4734,2785,2294,491,1949,1630,319,110690.0,138172,137154,138590,149464,155224,61412,35605,1462,2439,3174,2009,1215,1611,2148,1734,2581,3341,2221,2339,2324,2112,1614,1277,854,1150,5613,1476,8551,1748,11298,27806,27054,26195,9331,8432,7007,3281,44.0,92.7,77.6,35.0,42.7,17127,42.4,18478,45.2,90505,33.807882,-118.347957,14841094.0,29696.0,5.73,0.011,0.2260426562664934,0.2012703204100242,0.1824117080010516,0.9988438629154124,0.3239190856129049,B,2,"B,C_5mi_C3",5,"B,C",103,104663.29,3802492,336813,565.19
91104,ZCTA5 91104,13490,8764,3237,5527,6048,2155,1818,712,898,370,3608,2468,1684,693,178,133,1010,2201,4281,1272,4726,2862,2385,477,1864,1195,669,103052.0,118750,123608,117859,154268,190605,63409,35595,1628,1857,2201,1973,1707,2050,2618,2786,2328,2351,3082,2916,2241,2363,1451,823,534,686,4058,1202,6888,2478,13462,29389,28707,27583,8098,7381,5857,2043,42.0,90.2,55.8,25.6,30.1,16883,40.3,18712,43.5,91104,34.165356,-118.123751,9856476.0,11657.0,3.806,0.005,0.1836086156991506,0.2011917114737603,0.138988695118745,0.9992449461737511,0.2960847082511409,B,2,"B,C_5mi_C3",5,"B,C",103,104663.29,3802492,336813,565.19
27609,ZCTA5 27609,17049,8378,3630,4748,6463,2483,1451,877,464,270,4483,1790,1363,661,74,7,840,2456,4595,487,8671,4627,4043,584,4044,3380,664,81538.0,135108,136591,133864,156779,168921,54182,35548,2528,1693,1580,1688,1765,3396,3075,2846,1949,1716,2775,2794,1829,1785,1393,1160,713,863,3273,1041,6842,2412,14719,29291,28706,27911,7743,6837,5914,2736,38.4,98.4,56.0,25.9,30.0,17627,37.1,17921,40.0,27609,35.843765,-78.633643,28938715.0,119497.0,11.173,0.046,0.0640844014066901,0.2008222494733201,0.1562089212163701,0.9977091975437196,0.2591130463834745,C,51,"B,C_5mi_C66",5,"B,C",4,116570.0,126813,14525,60.78
77079,ZCTA5 77079,14689,8923,4425,4498,7241,3686,1240,446,442,293,3587,2272,2047,922,65,30,697,2790,4699,737,5766,3058,2617,441,2708,2129,579,103089.0,147161,190806,121723,185929,235870,58650,35540,2210,2624,2443,2139,1637,3248,2937,2855,2833,2022,2310,1990,1937,1804,916,649,410,576,5067,1404,8681,2372,15649,27720,26859,25810,6292,5518,4355,1635,36.0,105.1,57.9,19.4,38.6,18208,34.0,17332,38.2,77079,29.776093,-95.603037,19115420.0,144292.0,7.381,0.056,0.1838141746806891,0.200759362324309,0.1910437297344667,0.9984996901194056,0.3115749060413538,B,8,"B,C_5mi_C11",5,"B,C",3,111506.33,109679,13079,27.47
6614,ZCTA5 06614,13707,9500,3015,6485,7021,2213,1817,581,662,221,4247,2333,1640,996,165,119,1177,2644,3714,1965,4207,2845,2545,300,1362,1085,277,105656.0,127837,154525,121050,143375,161658,84554,35538,1530,1678,1707,2041,2244,1961,1755,1968,1939,2231,3107,2397,2777,2396,2139,1513,1035,1120,3385,1259,6174,3026,11908,30199,29364,28262,10980,9864,8203,3668,47.3,93.8,67.9,38.8,29.2,17202,44.4,18336,49.6,06614,41.232466,-73.129873,28477893.0,1450045.0,10.995,0.56,0.1980755234809469,0.2007436405370563,0.1292612391552011,0.9977463039990128,0.2979154786721549,B,71,"B,C_5mi_C35",5,"B,C",5,111150.4,157276,15025,61.1
