ZIP,cluster_id,coverage_pct,can_skip,covered_by
07030,A_5mi_C1,90.2,True,"[('11368', 21.6), ('11385', 30.8), ('11226', 32.2), ('11373', 31.0), ('11236', 17.2), ('10025', 55.2), ('11221', 42.2), ('11377', 41.9), ('11229', 11.7), ('11375', 18.3), ('11218', 34.2), ('11215', 45.6), ('11209', 27.6), ('11201', 62.4), ('10023', 69.9), ('11211', 57.9), ('10024', 57.6), ('10128', 55.8), ('11238', 48.8), ('07302', 82.4), ('10016', 74.5), ('10003', 78.0), ('10011', 84.9), ('10028', 58.6), ('11217', 53.9), ('11231', 56.7), ('10021', 62.5), ('10022', 68.6), ('10010', 76.2), ('10065', 65.4), ('10014', 85.9), ('10013', 79.6), ('07310', 90.2)]"
07302,A_5mi_C1,91.8,True,"[('11368', 15.4), ('11385', 29.0), ('11226', 39.9), ('11373', 24.9), ('11236', 21.2), ('10025', 40.0), ('11221', 43.0), ('11234', 13.8), ('11377', 34.4), ('11229', 19.1), ('11375', 14.5), ('11218', 43.8), ('11215', 55.4), ('11209', 40.8), ('11201', 68.9), ('10023', 54.3), ('11211', 56.2), ('10024', 42.0), ('10128', 42.1), ('11238', 54.3), ('07030', 82.4), ('10016', 64.2), ('10003', 71.9), ('10011', 74.1), ('10028', 45.0), ('11217', 60.6), ('11231', 67.7), ('10021', 49.3), ('10022', 56.1), ('10010', 67.5), ('10065', 52.4), ('10014', 79.3), ('10013', 80.3), ('07310', 91.8)]"
10016,A_5mi_C1,95.7,True,"[('11368', 42.6), ('11385', 50.6), ('11226', 39.7), ('11373', 53.5), ('11236', 28.7), ('10025', 66.4), ('11221', 59.2), ('11234', 16.0), ('11377', 65.6), ('11229', 16.9), ('11375', 38.1), ('11218', 38.8), ('11215', 49.5), ('11209', 24.6), ('11201', 67.5), ('10023', 80.7), ('11211', 76.4), ('10024', 66.9), ('10128', 73.7), ('11238', 58.7), ('07030', 74.5), ('07302', 64.2), ('10003', 90.1), ('10011', 89.2), ('10028', 77.2), ('11217', 61.1), ('11231', 56.7), ('10021', 82.3), ('10022', 90.2), ('10010', 95.7), ('10065', 85.9), ('10014', 84.5), ('10013', 79.8), ('07310', 70.8)]"
10003,A_5mi_C1,94.4,True,"[('11368', 37.3), ('11385', 50.0), ('11226', 46.0), ('11373', 48.7), ('11236', 32.2), ('10025', 57.5), ('11221', 61.9), ('11234', 20.0), ('11377', 59.9), ('11229', 22.0), ('11375', 35.0), ('11218', 46.0), ('11215', 57.4), ('11209', 32.3), ('11201', 76.2), ('10023', 72.3), ('11211', 79.1), ('10024', 58.3), ('10128', 64.2), ('11238', 65.2), ('07030', 78.0), ('07302', 71.9), ('10016', 90.1), ('10011', 91.6), ('10028', 67.6), ('11217', 68.8), ('11231', 65.7), ('10021', 72.6), ('10022', 80.4), ('10010', 94.4), ('10065', 76.1), ('10014', 91.5), ('10013', 89.5), ('07310', 77.4)]"
10011,A_5mi_C1,93.8,True,"[('11368', 33.3), ('11385', 43.2), ('11226', 39.1), ('11373', 43.9), ('11236', 25.5), ('10025', 61.5), ('11221', 54.0), ('11234', 14.4), ('11377', 55.5), ('11229', 16.5), ('11375', 29.8), ('11218', 39.6), ('11215', 51.0), ('11209', 28.2), ('11201', 69.5), ('10023', 77.2), ('11211', 71.0), ('10024', 63.0), ('10128', 65.9), ('11238', 57.6), ('07030', 84.9), ('07302', 74.1), ('10016', 89.2), ('10003', 91.6), ('10028', 69.2), ('11217', 61.6), ('11231', 60.3), ('10021', 73.9), ('10022', 81.3), ('10010', 91.2), ('10065', 77.3), ('10014', 93.8), ('10013', 86.1), ('07310', 81.3)]"
10028,A_5mi_C1,96.5,True,"[('11368', 50.7), ('11385', 45.3), ('11226', 24.3), ('11373', 58.0), ('11236', 18.4), ('10025', 84.8), ('11221', 46.9), ('11377', 69.9), ('11375', 40.6), ('11218', 22.4), ('11215', 31.0), ('11201', 46.9), ('10023', 86.2), ('11211', 60.5), ('10024', 83.0), ('10128', 96.5), ('11238', 41.1), ('07030', 58.6), ('07302', 45.0), ('10016', 77.2), ('10003', 67.6), ('10011', 69.2), ('11217', 42.0), ('11231', 36.5), ('10021', 94.8), ('10022', 86.9), ('10010', 73.0), ('10065', 91.3), ('10014', 63.4), ('10013', 57.8), ('07310', 52.0)]"
11217,A_5mi_C1,92.9,True,"[('11368', 31.1), ('11385', 57.1), ('11226', 75.4), ('11373', 42.9), ('11236', 55.3), ('10025', 31.0), ('11221', 75.6), ('11234', 44.3), ('11377', 49.1), ('11229', 48.2), ('11375', 35.9), ('11218', 75.7), ('11215', 87.0), ('11209', 55.7), ('11201', 90.9), ('10023', 43.3), ('11211', 77.7), ('10024', 31.2), ('10128', 39.0), ('11238', 92.9), ('07030', 53.9), ('07302', 60.6), ('10016', 61.1), ('10003', 68.8), ('10011', 61.6), ('10028', 42.0), ('11231', 86.8), ('10021', 46.4), ('10022', 53.0), ('10010', 64.7), ('10065', 49.3), ('10014', 65.6), ('10013', 73.2), ('07310', 59.7)]"
11231,A_5mi_C1,87.7,False,"[('11368', 21.5), ('11385', 45.0), ('11226', 69.9), ('11373', 32.5), ('11236', 46.4), ('10025', 27.2), ('11221', 62.8), ('11234', 38.8), ('11377', 39.2), ('11229', 45.7), ('11375', 25.3), ('11218', 74.5), ('11215', 87.0), ('11209', 63.4), ('11201', 87.7), ('10023', 40.1), ('11211', 67.3), ('10024', 27.9), ('10128', 33.6), ('11238', 80.4), ('07030', 56.7), ('07302', 67.7), ('10016', 56.7), ('10003', 65.7), ('10011', 60.3), ('10028', 36.5), ('11217', 86.8), ('10021', 41.0), ('10022', 47.9), ('10010', 60.7), ('10065', 44.0), ('10014', 65.6), ('10013', 73.7), ('07310', 64.4)]"
10021,A_5mi_C1,96.4,True,"[('11368', 49.7), ('11385', 47.4), ('11226', 27.9), ('11373', 58.1), ('11236', 21.0), ('10025', 81.2), ('11221', 50.3), ('11377', 70.5), ('11375', 40.9), ('11218', 26.0), ('11215', 35.2), ('11209', 12.4), ('11201', 51.6), ('10023', 87.9), ('11211', 64.8), ('10024', 80.3), ('10128', 91.3), ('11238', 45.3), ('07030', 62.5), ('07302', 49.3), ('10016', 82.3), ('10003', 72.6), ('10011', 73.9), ('10028', 94.8), ('11217', 46.4), ('11231', 41.0), ('10022', 92.0), ('10010', 78.1), ('10065', 96.4), ('10014', 68.2), ('10013', 62.7), ('07310', 56.4)]"
10022,A_5mi_C1,95.6,True,"[('11368', 46.8), ('11385', 49.3), ('11226', 33.1), ('11373', 56.6), ('11236', 24.5), ('10025', 75.0), ('11221', 54.6), ('11234', 11.8), ('11377', 69.2), ('11229', 11.8), ('11375', 40.0), ('11218', 31.6), ('11215', 41.5), ('11209', 17.6), ('11201', 58.7), ('10023', 87.1), ('11211', 70.5), ('10024', 74.9), ('10128', 83.4), ('11238', 51.3), ('07030', 68.6), ('07302', 56.1), ('10016', 90.2), ('10003', 80.4), ('10011', 81.3), ('10028', 86.9), ('11217', 53.0), ('11231', 47.9), ('10021', 92.0), ('10010', 85.9), ('10065', 95.6), ('10014', 75.7), ('10013', 70.3), ('07310', 63.2)]"
