ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,Cluster_A_5mi,Cluster_A_10mi,Cluster_AB_5mi,Cluster_AB_10mi,Cluster_ABC_5mi,Cluster_ABC_10mi,Cluster_BC_5mi,Cluster_BC_10mi
2446,ZCTA5 02446,14426,6672,2768,3904,5511,2356,818,330,343,82,3738,1276,1213,382,34,29,550,1669,4178,275,7754,5014,3569,1445,2740,1444,1296,127519.0,204130,249833,173125,242830,"250,000+",129105,31109,1753,1273,1425,1007,4077,3763,2848,2600,1699,1519,1257,1624,1602,1168,1317,949,807,421,2698,516,4967,4568,15994,26418,26142,25297,6264,5696,4662,2177,33.9,77.5,44.8,21.7,23.1,13583,34.3,17526,33.4,02446,42.343499,-71.122244,3333348.0,12106.0,1.287,0.005,0.3195386589776496,0.1659277426657862,0.1184383489615283,0.9997700650551208,0.3305210936220612,B,,,"A,B_5mi_C35","A,B_10mi_C40","A,B,C_5mi_C38","A,B,C_10mi_C37","B,C_5mi_C19","B,C_10mi_C24"
80817,ZCTA5 80817,11091,7718,4153,3565,6234,3297,998,658,486,198,3010,1575,1791,877,310,155,653,2422,3871,772,3373,1583,1137,446,1790,1090,700,85121.0,94440,91703,96232,101109,97300,52074,31101,2147,2031,3104,2110,2343,3128,2481,2739,2639,1870,1419,1832,926,1070,528,311,174,249,5135,1595,8877,2858,15440,23145,22224,21530,3258,2898,2332,734,31.4,102.8,56.3,11.7,44.6,15768,31.8,15333,30.5,80817,38.63834,-104.686469,163456166.0,329159.0,63.111,0.127,0.0839902887270343,0.1658648555167751,0.1791254053106651,0.9868820342008948,0.2643394988811508,C,,,,,,"A,B,C_10mi_C82",,"B,C_10mi_C69"
11414,ZCTA5 11414,11523,7834,3139,4695,5665,2552,1540,547,629,40,3141,1607,2016,505,389,176,1175,2921,2683,1055,3689,2174,2159,15,1515,1228,287,98209.0,123873,141688,115625,138750,160065,85691,31090,2640,2164,1518,1469,769,1270,1399,2337,1942,2133,1899,1873,1972,2210,1807,1336,694,1658,3682,880,7202,1358,9186,24528,23888,23117,9677,8676,7705,3688,45.1,96.5,92.1,47.6,44.5,15267,42.7,15823,47.9,11414,40.657604,-73.844804,5988196.0,206511.0,2.312,0.08,0.1567026117101952,0.1657783856868849,0.13469459293664,0.9995563902423364,0.2783434276532878,C,,,,,"A,B,C_5mi_C2","A,B,C_10mi_C3","B,C_5mi_C2","B,C_10mi_C2"
8865,ZCTA5 08865,13452,8072,3321,4751,5809,2090,1620,970,643,261,3983,1758,1777,402,109,43,1372,2192,3485,1023,5380,3153,2644,509,2227,1791,436,78519.0,104441,106188,103277,119558,128182,50952,31078,1627,1743,1519,1301,1736,1939,2237,2054,2083,1867,2064,2510,2619,1547,1431,1083,949,769,3262,704,5593,2333,11350,25997,25485,24519,8398,7305,5779,2801,43.2,99.8,57.7,29.3,28.4,15520,41.2,15558,45.4,08865,40.708226,-75.147073,111296625.0,2432097.0,42.972,0.939,0.0473118996427718,0.1656840549633682,0.1426693541319779,0.991080275229836,0.2411588233917125,D,,,,,,,,
19114,ZCTA5 19114,14111,7838,3025,4813,5257,1937,1988,871,593,217,3683,2123,1322,461,116,133,1233,2258,3581,766,6273,3647,3283,364,2626,2148,478,76076.0,94179,83503,101181,115350,118750,55729,31071,1756,1699,2020,1155,1431,2173,2321,2323,1977,1849,1484,2447,2337,2279,1536,1061,630,593,3719,807,6282,1779,11380,25238,24789,24246,8436,7350,6099,2284,41.5,83.1,66.2,32.6,33.6,14098,41.1,16973,42.0,19114,40.069399,-75.000162,14540104.0,743697.0,5.614,0.287,0.0337394512130758,0.1656290287079835,0.1296994128472526,0.9988680446503228,0.2336746442178974,D,,,,,,,,
77356,ZCTA5 77356,12885,9458,2850,6608,8303,2407,875,340,280,103,5341,1861,1136,1015,60,45,2264,2355,3837,1002,3427,1664,1468,196,1763,1544,219,113750.0,140135,149891,126132,147802,167477,50057,31069,1637,2327,1018,1706,1491,1403,1353,2211,1421,1584,2064,2358,2697,2479,2214,1656,1172,278,3345,946,5928,2251,9585,25784,25141,23902,10496,9466,7799,3106,48.2,106.7,79.2,45.0,34.2,16038,46.8,15031,48.7,77356,30.465662,-95.729888,337088502.0,41352088.0,130.151,15.966,0.2430429396045489,0.1656133069207307,0.1220313732363509,0.9729066591286362,0.300733101085939,B,,,,,,,,
55421,ZCTA5 55421,12617,6921,2976,3945,4316,1807,1695,781,910,388,3442,1182,1004,717,300,276,573,2155,3186,1007,5696,3099,2612,487,2597,1923,674,75141.0,89778,81282,92370,105272,103815,54567,31051,2337,1818,1717,1531,1705,2802,2733,2478,1659,1932,1698,1810,1947,1403,1327,747,461,946,3535,1007,6879,2229,12908,24816,24172,23349,6831,6038,4884,2154,36.8,105.9,61.0,25.3,35.7,15972,34.9,15079,38.5,55421,45.0509,-93.253833,16269250.0,853762.0,6.282,0.33,0.0285449201931143,0.1654718108354557,0.1275523617562001,0.9987287912113568,0.2311601114432447,D,,,,,,,,
22408,ZCTA5 22408,12114,8155,3700,4455,6429,2887,1016,574,710,239,3361,1991,1558,781,391,73,607,2356,4068,1124,3959,2162,1661,501,1797,1522,275,114598.0,125168,124649,125675,137360,140453,81875,31050,1914,2040,2223,1924,1884,1717,2591,2774,1844,2484,2398,1873,1971,995,1092,647,315,364,4263,1206,7383,2602,12734,24575,23667,22550,5384,4497,3413,1326,36.9,100.8,53.3,16.9,36.5,15585,36.1,15465,38.9,22408,38.220271,-77.443653,118893328.0,2362532.0,45.905,0.912,0.2477541292354872,0.1654639499418294,0.1592761370607308,0.9904688525704246,0.3161599042245693,B,,,,"A,B_10mi_C47",,"A,B,C_10mi_C43",,
10065,ZCTA5 10065,16706,6611,3163,3448,5573,2578,740,412,298,173,3621,1430,1310,130,36,84,830,2489,3154,138,10095,6247,5289,958,3848,3135,713,160938.0,"250,000+","250,000+",217945,"250,000+","250,000+",201313,31047,1955,1214,1086,1009,784,2759,4250,2306,1760,1417,2289,1867,1418,1235,1307,1558,1458,1375,2300,820,5075,973,12868,26506,25972,25636,8351,7638,6933,4391,40.3,78.9,63.1,36.4,26.7,13696,38.8,17351,40.9,10065,40.764628,-73.963144,984648.0,0.0,0.38,0.0,0.505202864492186,0.1654403672609502,0.1357462097975637,0.999959141206531,0.4006268101447039,A,A_5mi_C1,A_10mi_C3,"A,B_5mi_C2","A,B_10mi_C3","A,B,C_5mi_C2","A,B,C_10mi_C3",,
44133,ZCTA5 44133,13684,8791,3106,5685,6998,2341,1159,552,634,213,4707,1995,1413,476,107,93,1328,2847,3461,1155,4893,2668,2361,307,2225,1867,358,81803.0,109234,126536,100568,121728,147841,48517,31045,1465,1601,1726,1503,1736,1840,2322,1583,1622,1543,2695,1977,2504,2466,1963,1080,802,617,3327,926,5718,2313,10606,25901,25327,24438,9432,8232,6928,2499,45.3,101.0,68.7,37.7,31.1,15603,42.3,15442,49.0,44133,41.313215,-81.745879,54860044.0,54991.0,21.182,0.021,0.0655566481663583,0.1654246454736974,0.13324861975287,0.995622689054784,0.2453477452370435,D,,,,,,,,
