ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,cluster,cluster_id,cluster_radius,cluster_grades,ZIPs in Cluster,Avg Median Income,Total Population,Total Children,Total Area (sq mi)
80021,ZCTA5 80021,16402,8758,3174,5584,6930,2142,1279,733,549,299,4894,1851,1502,344,155,12,623,2170,4866,1099,7644,4233,2973,1260,3411,2521,890,105645.0,136689,125357,143359,149212,157105,78660,35562,1618,1156,1546,1573,2902,4312,3941,3039,2165,2159,1978,2284,2116,1614,1306,641,456,756,2702,971,5291,3504,17932,31004,30271,29286,6889,6012,4773,1853,36.4,97.1,39.5,18.7,20.8,17522,35.7,18040,37.3,80021,39.890663,-105.113724,42781387.0,5970976.0,16.518,2.305,0.1980144113513003,0.2009323019840895,0.1362282008588204,0.9965949615687608,0.2998492088627332,B,22,"A,B,C_10mi_C24",10,"A,B,C",64,120730.38,2324582,267258,1714.08
27609,ZCTA5 27609,17049,8378,3630,4748,6463,2483,1451,877,464,270,4483,1790,1363,661,74,7,840,2456,4595,487,8671,4627,4043,584,4044,3380,664,81538.0,135108,136591,133864,156779,168921,54182,35548,2528,1693,1580,1688,1765,3396,3075,2846,1949,1716,2775,2794,1829,1785,1393,1160,713,863,3273,1041,6842,2412,14719,29291,28706,27911,7743,6837,5914,2736,38.4,98.4,56.0,25.9,30.0,17627,37.1,17921,40.0,27609,35.843765,-78.633643,28938715.0,119497.0,11.173,0.046,0.0640844014066901,0.2008222494733201,0.1562089212163701,0.9977091975437196,0.2591130463834745,C,17,"A,B,C_10mi_C19",10,"A,B,C",34,105970.59,1452989,171077,1285.68
77079,ZCTA5 77079,14689,8923,4425,4498,7241,3686,1240,446,442,293,3587,2272,2047,922,65,30,697,2790,4699,737,5766,3058,2617,441,2708,2129,579,103089.0,147161,190806,121723,185929,235870,58650,35540,2210,2624,2443,2139,1637,3248,2937,2855,2833,2022,2310,1990,1937,1804,916,649,410,576,5067,1404,8681,2372,15649,27720,26859,25810,6292,5518,4355,1635,36.0,105.1,57.9,19.4,38.6,18208,34.0,17332,38.2,77079,29.776093,-95.603037,19115420.0,144292.0,7.381,0.056,0.1838141746806891,0.200759362324309,0.1910437297344667,0.9984996901194056,0.3115749060413538,B,0,"A,B,C_10mi_C1",10,"A,B,C",76,111721.14,3857451,496758,2433.09
20105,ZCTA5 20105,10447,9296,6489,2807,7972,5773,861,601,463,115,1840,2343,3338,1249,269,257,396,2261,5010,1629,1151,551,448,103,600,388,212,202775.0,212757,215632,196655,222328,224067,135255,35539,2495,3904,3817,2380,1147,1127,1972,3674,4737,2901,2297,2117,849,817,512,293,188,312,7721,1857,12073,1670,15037,24755,23466,22696,2971,2598,2122,793,36.5,98.0,66.5,9.9,56.6,17590,37.2,17949,36.3,20105,38.953169,-77.603594,96122863.0,996180.0,37.113,0.385,0.7376345161308244,0.2007515014306826,0.2814827797739024,0.9923016613060348,0.5316124640600011,A,14,"A,B,C_10mi_C15",10,"A,B,C",193,139911.49,6425311,712171,3165.22
6614,ZCTA5 06614,13707,9500,3015,6485,7021,2213,1817,581,662,221,4247,2333,1640,996,165,119,1177,2644,3714,1965,4207,2845,2545,300,1362,1085,277,105656.0,127837,154525,121050,143375,161658,84554,35538,1530,1678,1707,2041,2244,1961,1755,1968,1939,2231,3107,2397,2777,2396,2139,1513,1035,1120,3385,1259,6174,3026,11908,30199,29364,28262,10980,9864,8203,3668,47.3,93.8,67.9,38.8,29.2,17202,44.4,18336,49.6,06614,41.232466,-73.129873,28477893.0,1450045.0,10.995,0.56,0.1980755234809469,0.2007436405370563,0.1292612391552011,0.9977463039990128,0.2979154786721549,B,2,"A,B,C_10mi_C3",10,"A,B,C",568,131250.2,17623652,1797604,7714.57
62269,ZCTA5 62269,13872,9972,4765,5207,8114,3552,1339,940,519,273,4679,1980,2092,864,303,54,1382,3262,4543,785,3900,2214,2077,137,1686,1504,182,100167.0,124078,121440,133164,141194,140600,52381,35536,2422,2826,3155,2185,1379,1894,2540,3049,2390,2228,2275,1712,1766,1591,1671,1100,591,762,5981,1434,9837,2130,13437,26607,25699,24591,7481,6568,5715,2453,37.2,98.0,77.8,28.6,49.2,17588,35.5,17948,38.7,62269,38.600006,-89.915402,69992060.0,734740.0,27.024,0.284,0.1675805707872908,0.2007279187498035,0.2059416352642187,0.9944048468535288,0.3097420011328075,B,122,"A,B,C_10mi_C115",10,"A,B,C",3,103961.67,86938,10776,166.84
85297,ZCTA5 85297,10750,8845,5417,3428,6934,4080,1182,785,729,552,2404,2190,2179,1198,619,255,628,2693,3966,1558,1905,1175,807,368,730,558,172,132684.0,144228,145025,143548,157247,162407,73681,35535,1990,3785,3670,3493,1750,1534,2083,2443,3204,3050,2300,1967,1287,944,956,613,259,207,7455,2282,11727,2961,14507,25382,23808,22192,4266,3720,2979,1079,33.7,97.6,70.6,14.3,56.3,17554,32.7,17981,35.0,85297,33.277771,-111.731454,27334433.0,11623.0,10.554,0.004,0.3482335816708056,0.200720057856177,0.2345105599859784,0.997838236284318,0.3820546685944586,A,11,"A,B,C_10mi_C12",10,"A,B,C",63,109462.92,2630202,297694,1777.54
83634,ZCTA5 83634,10195,7743,4280,3463,6159,3119,1065,759,519,402,2761,1876,1505,968,420,213,682,2248,3640,1173,2452,1218,928,290,1234,1005,229,93084.0,103003,103516,102705,114988,121283,61382,35506,2445,2605,2570,2094,1723,3516,3425,2906,2995,2273,2004,2033,1453,1240,1116,529,446,133,5175,1731,9351,2086,16659,27237,26155,25345,4917,4207,3464,1108,34.4,122.2,56.5,15.3,41.2,19525,35.4,15981,32.1,83634,43.455712,-116.328708,387724049.0,1924588.0,149.701,0.743,0.1282299149430268,0.2004920919410118,0.1846902111997195,0.968831202943334,0.2857106324196777,C,31,"A,B,C_10mi_C33",10,"A,B,C",8,92471.25,391267,47382,504.54
92649,ZCTA5 92649,14545,9634,3126,6508,7603,2487,1195,404,836,235,5055,2336,1862,254,94,33,1371,2858,4347,1058,4911,3106,2446,660,1805,1170,635,121604.0,140119,139314,140480,155787,156763,91797,35504,1708,1456,1533,1999,2090,2784,2332,1499,2281,2302,2569,2193,3150,2221,2308,963,1112,1004,2989,947,5644,3142,12985,30496,29860,28274,10758,9355,7608,3079,45.1,91.6,59.6,34.2,25.4,16971,44.6,18533,46.4,92649,33.72524,-118.051579,19801436.0,2922423.0,7.645,1.128,0.2866770001722251,0.200476370153759,0.134124967136973,0.9984446558261616,0.3304364126060468,B,3,"A,B,C_10mi_C4",10,"A,B,C",285,115192.94,12240769,1193809,4190.56
46131,ZCTA5 46131,12407,8692,4442,4250,6576,3130,1398,877,718,435,3456,2252,1615,929,318,122,1059,2382,4289,962,3715,2158,1755,403,1557,1204,353,81914.0,96283,97250,95561,105161,113827,49227,35502,2144,2121,3192,2465,2790,2258,2444,1964,2130,2825,1915,1942,1792,1755,1145,1012,722,886,5313,1432,8889,3823,14051,27628,26613,24776,7312,6528,5520,2620,36.0,91.0,68.3,26.2,42.1,16912,35.3,18590,36.5,46131,39.473489,-86.043592,324046512.0,503728.0,125.115,0.194,0.066173325110974,0.2004606483665063,0.1917886250109543,0.9739564799649114,0.2668828529601652,C,55,"A,B,C_10mi_C62",10,"A,B,C",8,94385.12,273284,32420,305.17
